Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_059182.1	764732	767399	LG1	plus	uncharacterized protein LOC116936000	LOC116936000	116936000	protein-coding	XM_045175719.1	XP_045031654.1	771	
NC_059182.1	775080	777061	LG1	plus	probable GPI-anchored adhesin-like protein PGA18	LOC123476789	123476789	protein-coding	XM_045179493.1	XP_045035428.1	307	
NC_059182.1	777515	778898	LG1	plus	uncharacterized LOC123474032	LOC123474032	123474032	lncRNA	XR_006648646.1			
NC_059182.1	779297	779955	LG1	minus	uncharacterized LOC123474007	LOC123474007	123474007	lncRNA	XR_006648626.1			
NC_059182.1	779401	780198	LG1	plus	uncharacterized LOC123474036	LOC123474036	123474036	lncRNA	XR_006648651.1			
NC_059182.1	780393	791620	LG1	plus	uncharacterized LOC116921170, transcript variant X12	LOC116921170	116921170	lncRNA	XR_006648599.1			
NC_059182.1	781988	782528	LG1	minus	uncharacterized LOC123474038	LOC123474038	123474038	lncRNA	XR_006648655.1			
NC_059182.1	791752	793982	LG1	minus	uncharacterized LOC116935375, transcript variant X4	LOC116935375	116935375	lncRNA	XR_006648584.1			
NC_059182.1	801375	801915	LG1	plus	uncharacterized LOC123474037	LOC123474037	123474037	lncRNA	XR_006648654.1			
NC_059182.1	801463	803386	LG1	minus	uncharacterized LOC123474031	LOC123474031	123474031	lncRNA	XR_006648643.1			
NC_059182.1	811090	812954	LG1	minus	uncharacterized LOC123474033	LOC123474033	123474033	lncRNA	XR_006648647.1			
NC_059182.1	816295	822519	LG1	minus	uncharacterized protein LOC116935378 isoform X1	LOC116935378	116935378	protein-coding	XM_045175853.1	XP_045031788.1	1453	
NC_059182.1	825057	828399	LG1	plus	uncharacterized protein LOC116918652	LOC116918652	116918652	protein-coding	XM_032924384.2	XP_032780275.2	854	
NC_059182.1	829851	831457	LG1	plus	uncharacterized protein LOC116919876	LOC116919876	116919876	protein-coding	XM_032925937.2	XP_032781828.2	314	
NC_059182.1	834548	837357	LG1	plus	uncharacterized protein LOC116918663 isoform X1	LOC116918663	116918663	protein-coding	XM_032924398.2	XP_032780289.2	816	
NC_059182.1	837714	840976	LG1	plus	uncharacterized protein LOC116918574 isoform X1	LOC116918574	116918574	protein-coding	XM_032924302.2	XP_032780193.2	937	
NC_059182.1	841657	843119	LG1	plus	uncharacterized protein LOC116919939	LOC116919939	116919939	protein-coding	XM_045175916.1	XP_045031851.1	318	
NC_059182.1	844410	848586	LG1	plus	mucin-22	LOC116918396	116918396	protein-coding	XM_032924104.2	XP_032779995.2	1244	
NC_059182.1	849503	851100	LG1	plus	uncharacterized protein LOC116919239 isoform X1	LOC116919239	116919239	protein-coding	XM_045175908.1	XP_045031843.1	418	
NC_059182.1	851250	854680	LG1	plus	uncharacterized protein LOC116918635	LOC116918635	116918635	protein-coding	XM_032924370.2	XP_032780261.2	876	
NC_059182.1	855705	856960	LG1	plus	uncharacterized protein LOC116920067	LOC116920067	116920067	protein-coding	XM_032926134.2	XP_032782025.1	313	
NC_059182.1	858075	859405	LG1	plus	uncharacterized protein LOC116920050	LOC116920050	116920050	protein-coding	XM_032926105.2	XP_032781996.2	315	
NC_059182.1	859822	860752	LG1	plus	uncharacterized protein LOC116920534	LOC116920534	116920534	protein-coding	XM_032926666.2	XP_032782557.2	177	
NC_059182.1	860996	862619	LG1	plus	uncharacterized protein LOC116920344	LOC116920344	116920344	protein-coding	XM_032926564.2	XP_032782455.2	236	
NC_059182.1	863610	866138	LG1	plus	uncharacterized protein LOC116918739	LOC116918739	116918739	protein-coding	XM_032924482.2	XP_032780373.2	724	
NC_059182.1	866332	868190	LG1	plus	uncharacterized protein LOC116920212	LOC116920212	116920212	protein-coding	XM_032926360.2	XP_032782251.2	284	
NC_059182.1	869679	871525	LG1	plus	microtubule-associated protein RP/EB family member 1	LOC116919503	116919503	protein-coding	XM_032925517.2	XP_032781408.2	400	
NC_059182.1	873598	880359	LG1	plus	uncharacterized protein LOC116921255	LOC116921255	116921255	protein-coding	XM_032926819.2	XP_032782710.2	170	
NC_059182.1	880684	885507	LG1	minus	uncharacterized LOC116936060, transcript variant X11	LOC116936060	116936060	lncRNA	XR_006645284.1			
NC_059182.1	887502	891097	LG1	minus	uncharacterized protein LOC116918814 isoform X1	LOC116918814	116918814	protein-coding	XM_032924584.2	XP_032780475.2	686	
NC_059182.1	895697	897849	LG1	plus	transcriptional regulator ATRX homolog	LOC116919535	116919535	protein-coding	XM_045168229.1	XP_045024164.1	504	
NC_059182.1	900688	901446	LG1	plus	glutamic acid-rich protein-like	LOC123476792	123476792	protein-coding	XM_045179501.1	XP_045035436.1	187	
NC_059182.1	906001	907383	LG1	plus	cilia- and flagella-associated protein 251	LOC116919898	116919898	protein-coding	XM_032925959.2	XP_032781850.2	351	
NC_059182.1	908004	927140	LG1	plus	uncharacterized protein LOC116919394 isoform X1	LOC116919394	116919394	protein-coding	XM_032925368.2	XP_032781259.2	426	
NC_059182.1	927330	929261	LG1	minus	putative glycerol-3-phosphate transporter 5	LOC116919297	116919297	protein-coding	XM_032925280.2	XP_032781171.2	447	
NC_059182.1	929553	932301	LG1	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC116919468	LOC116919468	116919468	protein-coding	XM_032925469.2	XP_032781360.1	411	
NC_059182.1	932445	938333	LG1	plus	LOW QUALITY PROTEIN: integrator complex subunit 2	LOC116918388	116918388	protein-coding	XM_032924092.2	XP_032779983.2	1264	
NC_059182.1	938858	940584	LG1	minus	eukaryotic translation initiation factor 4H	LOC116919908	116919908	protein-coding	XM_032925962.2	XP_032781853.2	346	
NC_059182.1	940465	946238	LG1	plus	myb-binding protein 1A-like protein	LOC116918381	116918381	protein-coding	XM_045179654.1	XP_045035589.1	1419	
NC_059182.1	946160	950506	LG1	minus	uncharacterized protein LOC116919510 isoform X1	LOC116919510	116919510	protein-coding	XM_032925529.2	XP_032781420.2	401	
NC_059182.1	963152	964111	LG1	minus	uncharacterized LOC123475184, transcript variant X3	LOC123475184	123475184	lncRNA	XR_006649972.1			
NC_059182.1	964728	965498	LG1	plus	uncharacterized LOC116921429, transcript variant X2	LOC116921429	116921429	lncRNA	XR_004393287.2			
NC_059182.1	965012	967043	LG1	minus	uncharacterized LOC123475194	LOC123475194	123475194	lncRNA	XR_006649980.1			
NC_059182.1	967202	976074	LG1	plus	E3 ubiquitin-protein ligase UBR2 isoform X1	LOC116918250	116918250	protein-coding	XM_045177506.1	XP_045033441.1	1919	
NC_059182.1	972935	973006	LG1	plus	tRNA-Pro	Trnap-cgg	116936690	tRNA				
NC_059182.1	973363	973434	LG1	plus	tRNA-Pro	Trnap-ugg	116936701	tRNA				
NC_059182.1	976463	979989	LG1	plus	alpha-crystallin B chain isoform X1	LOC116920200	116920200	protein-coding	XM_045177513.1	XP_045033448.1	222	
NC_059182.1	980067	982171	LG1	plus	uncharacterized protein LOC123475002 isoform X1	LOC123475002	123475002	protein-coding	XM_045177508.1	XP_045033443.1	543	
NC_059182.1	983440	986590	LG1	plus	extensin	LOC116919123	116919123	protein-coding	XM_032925005.2	XP_032780896.2	460	
NC_059182.1	988828	992210	LG1	plus	uncharacterized protein LOC116920451 isoform X1	LOC116920451	116920451	protein-coding	XM_045167226.1	XP_045023161.1	183	
NC_059182.1	992426	993706	LG1	plus	putative defense protein 3	LOC116920393	116920393	protein-coding	XM_032926618.2	XP_032782509.2	213	
NC_059182.1	994341	998293	LG1	plus	CAP-Gly domain-containing linker protein 4 isoform X1	LOC116918933	116918933	protein-coding	XM_032924734.2	XP_032780625.1	641	
NC_059182.1	998172	1002508	LG1	minus	LOW QUALITY PROTEIN: RNA exonuclease 1 homolog	LOC116918423	116918423	protein-coding	XM_032924132.2	XP_032780023.2	1094	
NC_059182.1	1002713	1004912	LG1	plus	serine/threonine-protein kinase Chk2 isoform X1	LOC116919216	116919216	protein-coding	XM_032925155.2	XP_032781046.2	469	
NC_059182.1	1005064	1006752	LG1	plus	uncharacterized protein LOC116920689	LOC116920689	116920689	protein-coding	XM_032926790.2	XP_032782681.1	157	
NC_059182.1	1008333	1009716	LG1	plus	putative exonuclease GOR	LOC116919997	116919997	protein-coding	XM_032926051.2	XP_032781942.2	300	
NC_059182.1	1009672	1011240	LG1	plus	putative exonuclease GOR	LOC116920012	116920012	protein-coding	XM_032926077.2	XP_032781968.1	317	
NC_059182.1	1011409	1012855	LG1	minus	uncharacterized protein LOC116919292	LOC116919292	116919292	protein-coding	XM_032925273.2	XP_032781164.2	451	
NC_059182.1	1013908	1016016	LG1	minus	rho GTPase-activating protein 21-A	LOC116919031	116919031	protein-coding	XM_032924891.2	XP_032780782.2	562	
NC_059182.1	1016329	1019135	LG1	minus	uncharacterized protein LOC116918709	LOC116918709	116918709	protein-coding	XM_032924454.2	XP_032780345.2	754	
NC_059182.1	1020240	1025799	LG1	minus	uncharacterized protein LOC116918833	LOC116918833	116918833	protein-coding	XM_045167084.1	XP_045023019.1	1448	
NC_059182.1	1029514	1030146	LG1	minus	ankyrin repeat domain-containing protein EMB506, chloroplastic-like	LOC123467222	123467222	protein-coding	XM_045167239.1	XP_045023174.1	149	
NC_059182.1	1030167	1034429	LG1	minus	uncharacterized protein LOC116918342	LOC116918342	116918342	protein-coding	XM_045167091.1	XP_045023026.1	1210	
NC_059182.1	1036105	1057545	LG1	plus	uncharacterized LOC116921410, transcript variant X2	LOC116921410	116921410	lncRNA	XR_004393248.2			
NC_059182.1	1037321	1058156	LG1	minus	uncharacterized protein LOC123467009	LOC123467009	123467009	protein-coding	XM_045167072.1	XP_045023007.1	1456	
NC_059182.1	1045127	1050378	LG1	minus	uncharacterized protein LOC116936354	LOC116936354	116936354	protein-coding	XM_045167076.1	XP_045023011.1	1453	
NC_059182.1	1052529	1057891	LG1	minus	uncharacterized protein LOC116918350	LOC116918350	116918350	protein-coding	XM_032924045.2	XP_032779936.2	1456	
NC_059182.1	1058299	1063278	LG1	minus	uncharacterized protein LOC116918878 isoform X1	LOC116918878	116918878	protein-coding	XM_032924674.2	XP_032780565.2	659	
NC_059182.1	1063739	1073643	LG1	plus	long-chain-fatty-acid--CoA ligase ACSBG2	LOC116918610	116918610	protein-coding	XM_032924344.2	XP_032780235.2	895	
NC_059182.1	1073801	1076096	LG1	plus	ubiquitin-conjugating enzyme E2 R2	LOC116920325	116920325	protein-coding	XM_032926542.2	XP_032782433.1	239	
NC_059182.1	1076311	1077402	LG1	plus	heme oxygenase	LOC116920280	116920280	protein-coding	XM_032926462.2	XP_032782353.2	257	
NC_059182.1	1077382	1078506	LG1	minus	syntaxin-18	LOC116920033	116920033	protein-coding	XM_032926091.2	XP_032781982.2	316	
NC_059182.1	1078541	1081571	LG1	plus	uncharacterized LOC123467253, transcript variant X2	LOC123467253	123467253	lncRNA	XR_006641710.1			
NC_059182.1	1079352	1080884	LG1	minus	serine/threonine-protein kinase Nek3	LOC116919228	116919228	protein-coding	XM_045167197.1	XP_045023132.1	345	
NC_059182.1	1082191	1082475	LG1	plus	uncharacterized LOC116921212	LOC116921212	116921212	lncRNA	XR_004393101.2			
NC_059182.1	1083819	1085826	LG1	plus	28S ribosomal protein S5, mitochondrial	LOC116919271	116919271	protein-coding	XM_045167170.1	XP_045023105.1	453	
NC_059182.1	1085758	1087657	LG1	minus	probable serine hydrolase	LOC116919447	116919447	protein-coding	XM_032925449.2	XP_032781340.1	418	
NC_059182.1	1099468	1111873	LG1	minus	mucin-17	LOC116918306	116918306	protein-coding	XM_032923987.2	XP_032779878.2	1557	
NC_059182.1	1112035	1112847	LG1	minus	UPF0545 protein C22orf39 homolog	LOC116920732	116920732	protein-coding	XM_032926834.2	XP_032782725.2	143	
NC_059182.1	1112703	1119177	LG1	minus	uncharacterized protein LOC116918583 isoform X1	LOC116918583	116918583	protein-coding	XM_032924316.2	XP_032780207.2	910	
NC_059182.1	1117055	1120375	LG1	plus	proteoglycan Cow isoform X1	LOC116919075	116919075	protein-coding	XM_032924948.2	XP_032780839.2	528	
NC_059182.1	1120303	1122035	LG1	minus	LOW QUALITY PROTEIN: 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	LOC116919637	116919637	protein-coding	XM_032925660.2	XP_032781551.1	394	
NC_059182.1	1122101	1125895	LG1	minus	high-affinity choline transporter 1 isoform X1	LOC116919035	116919035	protein-coding	XM_032924904.2	XP_032780795.2	560	
NC_059182.1	1126060	1127482	LG1	plus	derlin-2	LOC116919945	116919945	protein-coding	XM_045167306.1	XP_045023241.1	249	
NC_059182.1	1128968	1130587	LG1	plus	transmembrane protein 17	LOC116920527	116920527	protein-coding	XM_032926654.2	XP_032782545.1	178	
NC_059182.1	1143778	1146991	LG1	plus	cytochrome P450 18a1	LOC116919046	116919046	protein-coding	XM_032924914.2	XP_032780805.2	551	
NC_059182.1	1148228	1152997	LG1	minus	cytochrome P450 306a1 isoform X1	LOC116918853	116918853	protein-coding	XM_032924641.2	XP_032780532.2	585	
NC_059182.1	1153856	1154102	LG1	plus	uncharacterized LOC123467380	LOC123467380	123467380	lncRNA	XR_006641745.1			
NC_059182.1	1166020	1171766	LG1	minus	twinkle protein, mitochondrial isoform X1	LOC116918756	116918756	protein-coding	XM_032924506.2	XP_032780397.2	715	
NC_059182.1	1171694	1174850	LG1	plus	sphingomyelin phosphodiesterase 4	LOC116918692	116918692	protein-coding	XM_032924431.2	XP_032780322.1	802	
NC_059182.1	1174794	1178084	LG1	minus	solute carrier family 15 member 4 isoform X1	LOC116918955	116918955	protein-coding	XM_032924769.2	XP_032780660.2	605	
NC_059182.1	1177771	1177861	LG1	plus	tRNA-Ile	Trnai-uau	116936713	tRNA				
NC_059182.1	1178287	1180358	LG1	minus	nucleolar complex protein 4 homolog	LOC116919113	116919113	protein-coding	XM_032924995.2	XP_032780886.1	513	
NC_059182.1	1181815	1184852	LG1	plus	SEC14-like protein 2	LOC116919495	116919495	protein-coding	XM_045167385.1	XP_045023320.1	405	
NC_059182.1	1185177	1187618	LG1	plus	SEC14-like protein 2	LOC116919772	116919772	protein-coding	XM_032925802.2	XP_032781693.2	381	
NC_059182.1	1188226	1192092	LG1	plus	SEC14-like protein 2 isoform X1	LOC116919622	116919622	protein-coding	XM_032925637.2	XP_032781528.2	394	
NC_059182.1	1192241	1194716	LG1	plus	SEC14-like protein 2	LOC116919584	116919584	protein-coding	XM_045167391.1	XP_045023326.1	396	
NC_059182.1	1194955	1197747	LG1	plus	SEC14-like protein 2 isoform X1	LOC116919654	116919654	protein-coding	XM_032925672.2	XP_032781563.2	393	
NC_059182.1	1200678	1204705	LG1	minus	uncharacterized LOC116921543, transcript variant X7	LOC116921543	116921543	lncRNA	XR_006641783.1			
NC_059182.1	1204831	1207728	LG1	plus	SEC14-like protein 2	LOC116919571	116919571	protein-coding	XM_032925594.2	XP_032781485.1	396	
NC_059182.1	1207554	1211539	LG1	minus	signal peptide peptidase-like 3 isoform X1	LOC116919520	116919520	protein-coding	XM_032925539.2	XP_032781430.1	400	
NC_059182.1	1211694	1212808	LG1	plus	uncharacterized LOC116921660	LOC116921660	116921660	lncRNA	XR_004393490.2			
NC_059182.1	1212137	1219869	LG1	minus	transmembrane protein 132C	LOC116918371	116918371	protein-coding	XM_032924077.2	XP_032779968.2	1407	
NC_059182.1	1224017	1228955	LG1	minus	rab effector Noc2 isoform X2	LOC116920551	116920551	protein-coding	XM_032926703.2	XP_032782594.1	174	
NC_059182.1	1230868	1231675	LG1	minus	uncharacterized protein LOC116920562 isoform X1	LOC116920562	116920562	protein-coding	XM_032926706.2	XP_032782597.2	94	
NC_059182.1	1232806	1233706	LG1	minus	uncharacterized protein LOC116920963 isoform X1	LOC116920963	116920963	protein-coding	XM_032927155.2	XP_032783046.2	92	
NC_059182.1	1236491	1238676	LG1	plus	SEC14-like protein 4	LOC116919554	116919554	protein-coding	XM_032925574.2	XP_032781465.2	394	
NC_059182.1	1238891	1241342	LG1	plus	SEC14-like protein 2	LOC116919681	116919681	protein-coding	XM_032925697.2	XP_032781588.2	389	
NC_059182.1	1241723	1242579	LG1	minus	uncharacterized protein LOC116920943 isoform X1	LOC116920943	116920943	protein-coding	XM_032927124.2	XP_032783015.2	94	
NC_059182.1	1244567	1245234	LG1	plus	protein jagged-1	LOC116920235	116920235	protein-coding	XM_045179813.1	XP_045035748.1	170	
NC_059182.1	1245280	1246932	LG1	minus	fatty acid hydroxylase domain-containing protein 2 isoform X1	LOC116920177	116920177	protein-coding	XM_032926269.2	XP_032782160.2	299	
NC_059182.1	1247018	1249157	LG1	minus	fatty acid hydroxylase domain-containing protein 2	LOC116920130	116920130	protein-coding	XM_032926195.2	XP_032782086.2	304	
NC_059182.1	1256150	1268397	LG1	plus	LOW QUALITY PROTEIN: serine/threonine-protein kinase CST20	LOC116918261	116918261	protein-coding	XM_032923942.2	XP_032779833.2	1611	
NC_059182.1	1270545	1283422	LG1	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC116918203	LOC116918203	116918203	protein-coding	XM_045167516.1	XP_045023451.1	2209	
NC_059182.1	1286596	1287976	LG1	minus	uncharacterized LOC116921561, transcript variant X2	LOC116921561	116921561	lncRNA	XR_004393400.2			
NC_059182.1	1289044	1289908	LG1	plus	uncharacterized LOC123467788, transcript variant X2	LOC123467788	123467788	lncRNA	XR_006641906.1			
NC_059182.1	1289900	1293151	LG1	minus	uncharacterized LOC116921484, transcript variant X6	LOC116921484	116921484	lncRNA	XR_006641914.1			
NC_059182.1	1294011	1295676	LG1	minus	uncharacterized protein LOC116934829	LOC116934829	116934829	protein-coding	XM_045167565.1	XP_045023500.1	201	
NC_059182.1	1295791	1297893	LG1	minus	F-box-like/WD repeat-containing protein ebi	LOC116919663	116919663	protein-coding	XM_032925683.2	XP_032781574.2	392	
NC_059182.1	1298032	1299098	LG1	minus	uncharacterized protein LOC116920308 isoform X1	LOC116920308	116920308	protein-coding	XM_032926512.2	XP_032782403.2	240	
NC_059182.1	1299102	1300395	LG1	minus	lathosterol oxidase	LOC116920244	116920244	protein-coding	XM_032926401.2	XP_032782292.2	274	
NC_059182.1	1300494	1301037	LG1	plus	uncharacterized LOC116921594	LOC116921594	116921594	lncRNA	XR_004393407.2			
NC_059182.1	1300973	1304641	LG1	minus	kinesin-like protein KIF3B	LOC116918718	116918718	protein-coding	XM_032924466.2	XP_032780357.2	752	
NC_059182.1	1304852	1306255	LG1	plus	UMP-CMP kinase	LOC116920367	116920367	protein-coding	XM_032926596.2	XP_032782487.1	219	
NC_059182.1	1306297	1309211	LG1	plus	ankyrin repeat domain-containing protein 29 isoform X1	LOC116919961	116919961	protein-coding	XM_032926001.2	XP_032781892.1	335	
NC_059182.1	1309041	1310932	LG1	minus	syntenin-1	LOC116920147	116920147	protein-coding	XM_032926237.2	XP_032782128.2	303	
NC_059182.1	1311417	1313318	LG1	minus	uncharacterized protein LOC116920253	LOC116920253	116920253	protein-coding	XM_032926413.2	XP_032782304.2	190	
NC_059182.1	1313704	1314416	LG1	plus	glycine-rich cell wall structural protein	LOC116920936	116920936	protein-coding	XM_032927111.2	XP_032783002.1	102	
NC_059182.1	1314495	1315063	LG1	plus	uncharacterized LOC123467819	LOC123467819	123467819	lncRNA	XR_006641928.1			
NC_059182.1	1324413	1325155	LG1	plus	WW domain-containing protein C660.06	LOC116920827	116920827	protein-coding	XM_032926966.2	XP_032782857.2	134	
NC_059182.1	1325503	1328358	LG1	minus	uncharacterized protein LOC116918783	LOC116918783	116918783	protein-coding	XM_032924555.2	XP_032780446.2	703	
NC_059182.1	1329259	1331878	LG1	plus	uncharacterized protein LOC116919806	LOC116919806	116919806	protein-coding	XM_032925856.2	XP_032781747.2	370	
NC_059182.1	1331922	1332717	LG1	minus	microsomal glutathione S-transferase 3	LOC116920764	116920764	protein-coding	XM_032926879.2	XP_032782770.1	139	
NC_059182.1	1332699	1334200	LG1	minus	microsomal glutathione S-transferase 3 isoform X1	LOC116920661	116920661	protein-coding	XM_032926768.2	XP_032782659.2	159	
NC_059182.1	1334315	1335432	LG1	minus	microsomal glutathione S-transferase 3 isoform X1	LOC116920643	116920643	protein-coding	XM_032926760.2	XP_032782651.2	160	
